id_venta|id_cliente|id_producto|id_tiempo|id_empleado|id_sucursal|cantidad_vendida|total_venta|costo_estimado|ganancia
75|33|24|113|5|1|1|5.00|3.17|1.83
76|55|14|44|17|2|1|7.00|3.76|3.24
77|20|19|75|16|1|2|144.00|84.63|59.37
78|23|11|71|18|2|2|52.00|34.66|17.34
79|56|7|90|8|3|2|20.00|10.53|9.47
80|50|14|6|11|3|2|14.00|8.69|5.31
81|52|13|50|5|2|1|4.00|2.02|1.98
82|38|11|112|4|2|1|26.00|15.21|10.79
83|30|1|93|5|2|3|66.00|44.48|21.52
84|5|16|101|9|2|2|14.00|8.66|5.34
85|42|3|110|11|3|2|136.00|75.62|60.38
86|21|21|92|16|3|1|6.00|3.62|2.38
87|16|21|88|10|1|3|18.00|8.97|9.03
88|7|25|82|4|2|1|2.00|1.24|0.76
89|58|1|6|11|1|1|22.00|12.14|9.86
90|28|5|32|17|2|2|260.00|160.25|99.75
91|12|6|23|3|3|2|30.00|18.12|11.88
92|16|16|117|19|1|1|7.00|4.01|2.99
93|17|15|33|1|2|1|7.00|4.31|2.69
94|11|3|57|12|3|1|68.00|41.33|26.67
95|28|23|33|15|2|1|4.50|3.06|1.44
96|55|16|14|8|2|2|14.00|7.73|6.27
97|19|23|38|1|3|2|9.00|4.81|4.19
98|37|22|100|2|3|3|16.50|9.56|6.94
99|58|10|100|8|3|1|16.00|8.38|7.62
100|13|20|33|5|3|1|30.00|19.82|10.18
101|42|2|40|15|1|2|76.00|42.03|33.97
102|9|3|117|10|2|3|204.00|114.87|89.13
103|13|5|101|18|2|2|260.00|150.89|109.11
104|18|6|33|16|2|3|45.00|29.43|15.57
105|52|4|60|3|1|1|8.00|5.22|2.78
106|47|22|51|18|2|1|5.50|3.51|1.99
107|1|9|69|4|2|1|24.00|14.75|9.25
108|44|9|75|13|3|1|24.00|12.04|11.96
109|15|16|4|20|3|1|7.00|4.64|2.36
110|15|21|9|15|3|1|6.00|3.66|2.34
111|8|5|6|2|2|2|260.00|130.84|129.16
112|16|18|18|13|2|1|18.00|11.05|6.95
113|48|23|70|14|3|3|13.50|8.44|5.06
114|57|14|84|4|2|2|14.00|7.86|6.14
115|18|2|89|12|1|2|76.00|43.24|32.76
116|16|12|13|12|3|3|42.00|23.17|18.83
117|26|9|25|4|2|1|24.00|14.70|9.30
118|42|21|77|1|1|1|6.00|3.17|2.83
119|9|19|27|3|3|1|72.00|43.00|29.00
120|53|8|43|5|3|1|8.00|4.28|3.72
121|10|5|70|9|1|1|130.00|79.59|50.41
122|2|5|2|12|1|2|260.00|141.64|118.36
123|12|9|7|5|3|2|48.00|28.09|19.91
124|48|3|61|15|2|2|136.00|81.43|54.57
125|29|17|29|20|1|3|60.00|38.20|21.80
126|56|22|67|10|2|3|16.50|11.10|5.40
127|4|16|109|13|2|3|21.00|10.53|10.47
128|46|15|10|3|2|2|14.00|7.14|6.86
129|9|9|80|19|3|3|72.00|39.24|32.76
130|39|17|38|15|3|2|40.00|22.64|17.36
131|51|23|15|18|3|1|4.50|2.55|1.95
132|57|8|53|11|2|2|16.00|9.01|6.99
133|7|11|55|11|3|1|26.00|14.43|11.57
134|10|22|119|16|1|1|5.50|3.55|1.95
135|6|14|13|12|1|2|14.00|6.89|7.11
136|36|18|43|4|2|1|18.00|11.78|6.22
137|49|14|112|2|2|2|14.00|7.59|6.41
138|7|19|65|7|1|3|216.00|124.51|91.49
139|55|4|45|18|2|1|8.00|5.06|2.94
140|37|8|104|14|3|2|16.00|9.64|6.36
141|42|18|4|20|3|3|54.00|28.81|25.19
142|12|9|90|10|2|1|24.00|11.55|12.45
143|56|5|73|13|1|1|130.00|81.67|48.33
144|2|3|96|17|1|2|136.00|76.70|59.30
145|22|6|48|10|3|1|15.00|9.53|5.47
146|37|20|11|2|1|1|30.00|18.93|11.07
147|4|22|11|9|2|3|16.50|9.32|7.18
148|39|15|54|9|1|2|14.00|7.04|6.96
149|28|4|37|19|2|2|16.00|9.81|6.19
150|3|8|51|20|1|1|8.00|4.17|3.83
151|14|25|18|9|2|1|2.00|1.01|0.99
152|32|24|56|6|1|2|10.00|5.87|4.13
153|15|17|72|12|1|2|40.00|26.09|13.91
154|3|14|3|15|1|1|7.00|4.17|2.83
155|37|13|91|14|2|1|4.00|2.24|1.76
156|21|6|103|20|2|3|45.00|29.88|15.12
157|6|14|109|4|1|2|14.00|8.37|5.63
158|34|3|51|10|3|1|68.00|35.65|32.35
159|50|6|10|17|3|1|15.00|8.79|6.21
160|13|25|45|12|3|3|6.00|3.86|2.14
161|16|4|19|9|1|1|8.00|4.80|3.20
162|49|25|84|3|1|3|6.00|3.47|2.53
163|49|19|98|19|2|3|216.00|143.60|72.40
164|37|21|82|20|2|3|18.00|9.78|8.22
165|29|3|61|15|3|1|68.00|43.47|24.53
166|38|2|46|17|1|1|38.00|21.75|16.25
167|3|2|48|10|1|3|114.00|74.42|39.58
168|55|3|79|20|3|2|136.00|77.87|58.13
169|36|24|115|2|2|2|10.00|6.10|3.90
170|21|20|61|17|1|1|30.00|17.10|12.90
171|52|11|92|3|3|3|78.00|40.13|37.87
172|16|23|57|15|3|2|9.00|5.42|3.58
173|24|12|118|10|2|2|28.00|17.78|10.22
174|44|20|7|11|1|1|30.00|14.97|15.03
175|44|13|37|9|3|3|12.00|8.07|3.93
176|39|5|43|3|3|3|390.00|198.23|191.77
177|23|10|84|13|1|2|32.00|19.90|12.10
178|6|10|72|13|3|1|16.00|10.28|5.72
179|43|23|107|17|1|3|13.50|8.29|5.21
180|33|12|3|12|2|1|14.00|9.38|4.62
181|22|25|63|7|1|1|2.00|1.02|0.98
182|19|4|65|18|3|2|16.00|7.80|8.20
183|22|25|80|5|3|2|4.00|2.04|1.96
184|12|23|99|20|1|3|13.50|7.66|5.84
185|27|12|87|8|2|2|28.00|15.04|12.96
186|48|15|30|18|1|1|7.00|4.71|2.29
187|51|16|116|7|2|3|21.00|14.06|6.94
188|29|15|99|10|2|2|14.00|8.20|5.80
189|11|7|103|20|1|1|10.00|4.90|5.10
190|31|12|71|4|3|2|28.00|18.21|9.79
191|19|3|98|6|2|2|136.00|89.90|46.10
192|10|14|12|8|2|1|7.00|4.66|2.34
193|27|2|51|17|2|1|38.00|21.17|16.83
194|6|12|29|1|2|1|14.00|9.07|4.93
195|42|11|102|5|1|1|26.00|13.97|12.03
196|54|16|90|5|3|2|14.00|7.98|6.02
197|1|3|3|9|1|1|68.00|40.10|27.90
198|47|20|68|14|1|1|30.00|15.83|14.17
199|8|2|31|14|3|2|76.00|43.43|32.57
200|8|16|77|18|1|3|21.00|12.24|8.76
201|16|23|19|10|2|1|4.50|2.71|1.79
202|16|19|54|6|3|3|216.00|107.38|108.62
203|24|3|68|18|3|2|136.00|80.35|55.65
204|25|16|6|13|2|1|7.00|4.41|2.59
205|23|3|45|8|3|3|204.00|123.55|80.45
206|50|19|95|11|1|1|72.00|39.63|32.37
207|22|21|23|15|3|2|12.00|7.28|4.72
208|52|5|9|15|1|1|130.00|67.64|62.36
209|51|7|114|2|2|1|10.00|5.83|4.17
210|53|18|61|9|1|3|54.00|27.98|26.02
211|23|25|7|11|2|1|2.00|1.28|0.72
212|28|13|96|15|2|1|4.00|2.70|1.30
213|32|23|64|12|3|1|4.50|2.88|1.62
214|47|14|11|14|3|1|7.00|4.12|2.88
215|21|4|11|11|3|1|8.00|4.33|3.67
216|39|23|55|6|3|2|9.00|4.95|4.05
217|3|24|112|12|3|2|10.00|5.35|4.65
218|51|2|10|13|2|2|76.00|48.66|27.34
219|44|6|4|5|3|3|45.00|28.63|16.37
220|3|5|9|8|3|1|130.00|71.82|58.18
221|37|2|78|5|3|2|76.00|50.90|25.10
222|24|15|98|3|3|1|7.00|4.10|2.90
223|26|11|84|9|1|1|26.00|12.61|13.39
224|12|16|67|13|3|1|7.00|3.73|3.27
225|17|23|58|7|3|1|4.50|2.78|1.72
226|32|7|16|5|1|2|20.00|10.29|9.71
227|46|15|12|11|3|1|7.00|4.35|2.65
228|36|18|38|10|1|3|54.00|33.58|20.42
229|45|21|23|12|3|1|6.00|3.03|2.97
230|13|5|31|16|1|1|130.00|76.80|53.20
231|24|15|103|18|1|2|14.00|9.20|4.80
232|5|10|51|16|3|2|32.00|20.28|11.72
233|53|19|10|5|2|3|216.00|106.88|109.12
234|30|22|67|12|1|2|11.00|6.69|4.31
235|12|25|17|14|3|1|2.00|1.29|0.71
236|34|5|39|6|1|1|130.00|86.70|43.30
237|15|12|67|10|1|1|14.00|7.27|6.73
238|36|9|17|10|3|2|48.00|23.94|24.06
239|42|6|76|19|1|1|15.00|9.18|5.82
240|47|20|44|19|1|1|30.00|14.89|15.11
241|42|25|74|9|3|1|2.00|1.27|0.73
242|27|20|82|1|2|3|90.00|53.02|36.98
243|42|10|62|8|3|2|32.00|17.26|14.74
244|5|23|8|6|2|2|9.00|5.19|3.81
245|14|11|78|5|2|3|78.00|42.42|35.58
246|56|12|52|5|2|2|28.00|16.59|11.41
247|21|8|60|4|2|2|16.00|8.47|7.53
248|7|2|38|13|3|2|76.00|40.25|35.75
249|56|6|105|11|3|3|45.00|24.41|20.59
250|49|6|64|17|2|2|30.00|19.67|10.33
251|32|1|12|13|3|2|44.00|29.63|14.37
252|14|19|46|2|1|1|72.00|41.69|30.31
253|57|21|87|16|2|2|12.00|5.78|6.22
254|7|14|18|9|3|1|7.00|4.43|2.57
255|24|2|52|2|3|2|76.00|39.44|36.56
256|36|10|10|13|3|2|32.00|20.25|11.75
257|18|20|88|20|1|1|30.00|20.25|9.75
258|26|12|102|11|3|1|14.00|8.83|5.17
259|13|20|66|13|3|1|30.00|14.67|15.33
260|9|23|43|16|3|2|9.00|4.59|4.41
261|58|17|18|11|3|1|20.00|10.25|9.75
262|40|24|108|10|3|1|5.00|2.91|2.09
263|33|18|63|19|2|2|36.00|23.15|12.85
264|24|11|87|4|2|2|52.00|28.16|23.84
265|58|24|112|1|3|2|10.00|5.33|4.67
266|42|25|75|19|1|3|6.00|2.94|3.06
267|31|6|68|20|2|1|15.00|9.66|5.34
268|16|2|74|4|1|1|38.00|21.59|16.41
269|27|5|53|7|2|2|260.00|165.10|94.90
270|59|16|112|2|3|1|7.00|4.09|2.91
271|36|11|85|16|3|2|52.00|28.22|23.78
272|12|15|117|18|2|2|14.00|7.71|6.29
273|50|24|88|9|3|2|10.00|5.18|4.82
274|16|9|72|10|1|1|24.00|15.22|8.78
275|46|7|89|16|2|2|20.00|11.00|9.00
276|60|24|36|10|1|2|10.00|6.15|3.85
277|25|13|105|12|1|1|4.00|1.95|2.05
278|46|3|45|15|3|1|68.00|42.80|25.20
279|14|7|106|18|2|2|20.00|12.38|7.62
280|9|4|79|19|1|1|8.00|3.92|4.08
281|58|17|29|8|1|1|20.00|11.25|8.75
282|46|16|13|5|1|2|14.00|9.46|4.54
283|11|14|84|16|2|3|21.00|10.92|10.08
284|19|11|37|2|1|3|78.00|46.40|31.60
285|35|24|93|2|1|2|10.00|6.56|3.44
286|12|2|108|13|2|1|38.00|25.36|12.64
287|56|10|113|2|1|1|16.00|9.50|6.50
288|7|11|37|15|3|2|52.00|30.41|21.59
289|57|5|109|17|2|1|130.00|67.41|62.59
290|8|11|21|15|3|1|26.00|16.22|9.78
291|1|24|44|10|3|3|15.00|9.47|5.53
292|12|20|110|13|2|2|60.00|32.74|27.26
293|26|22|13|6|1|2|11.00|5.99|5.01
294|16|1|34|13|1|2|44.00|27.75|16.25
295|22|10|75|19|1|1|16.00|9.77|6.23
296|45|8|8|4|2|1|8.00|4.10|3.90
297|44|17|119|10|3|1|20.00|12.15|7.85
298|19|12|79|8|1|1|14.00|8.06|5.94
299|30|24|78|12|2|3|15.00|8.85|6.15
300|31|25|69|7|1|3|6.00|3.79|2.21
